,sub,node,distance,delta_dim
0,sub-200,165,114.28271212051278,-0.09110119394218152
0,sub-200,166,106.68804135089368,-0.060392207683861
0,sub-200,167,101.0213670779108,-0.03758204695489553
0,sub-200,168,88.40203792566098,-0.0688388396654116
0,sub-200,169,105.20636019656797,-0.07321600408709372
0,sub-200,170,113.30915074317697,-0.10227175018847556
0,sub-200,171,114.09991339878397,-0.047578030044416186
0,sub-200,172,108.52086534206221,-0.07941972956445786
0,sub-200,173,113.36931914362899,-0.14887484843963184
0,sub-200,174,115.617492021666,-0.11195643302061531
0,sub-200,175,114.61683605627054,0.018774351637007136
0,sub-200,176,87.09261410992323,-0.14062214866664924
0,sub-200,177,66.9872105605988,-0.1281596410412833
0,sub-200,178,73.74865095939043,-0.14623554469338274
0,sub-200,179,89.19985197577405,-0.07887684202533363
0,sub-200,180,103.91817051343813,-0.07794889789410853
0,sub-200,181,105.48221096284435,-0.05404953222083386
0,sub-200,182,106.20820161955477,0.04535820663378343
0,sub-200,183,113.52771065008754,-0.07621471838628913
0,sub-200,184,94.70438225647217,-0.0603007469066561
0,sub-200,185,99.2362666555932,0.0002848925340694919
0,sub-200,186,95.53853068129109,-0.1220974779210513
0,sub-200,187,100.96096514742715,-0.04679607135432251
0,sub-200,188,92.38693349440709,-0.035028650999750166
0,sub-200,189,107.33340633498035,-0.0035749053609379633
0,sub-200,190,78.56033130301832,-0.06523414083392165
0,sub-200,191,88.18962662087871,-0.056717311503717394
0,sub-200,192,81.0350343122035,-0.11006033975115814
0,sub-200,193,106.31945557173437,-0.08058010052402986
0,sub-200,194,112.56120843834258,-0.08658825652783442
0,sub-200,195,109.25061887559265,-0.06478502603613823
0,sub-200,196,109.79314077086056,-0.1414919961339116
0,sub-200,197,66.60852739439598,-0.14835763081506714
0,sub-200,198,70.4564914085991,-0.09893149307355475
0,sub-200,199,83.65015491246862,-0.107500834212793
1,sub-201,0,48.54628927003588,-0.03324875371914082
1,sub-201,1,56.54142892410838,-0.036194052509765484
1,sub-201,2,72.09192305730232,-0.03436365763008875
1,sub-201,3,37.145797482353224,-0.04146345378333738
1,sub-201,4,67.1736459937973,0.0028722564365060155
1,sub-201,5,39.446730574408825,-0.12546983629071362
1,sub-201,6,50.43143284460594,-0.043839064415694295
1,sub-201,7,74.96106440746422,-0.002540026035012799
1,sub-201,8,65.52181756468603,0.015906843128102643
1,sub-201,9,41.29967738421208,-0.09206774393987938
1,sub-201,10,73.29707593335493,-0.05012238486653464
1,sub-201,11,49.388779688609425,0.013479177468282533
1,sub-201,12,56.86692120116932,0.06192409877036842
1,sub-201,13,65.00500811729815,0.07879335509547025
1,sub-201,14,88.75467560652791,0.03378754705421039
1,sub-201,15,82.73822223362065,0.11384346671720569
1,sub-201,16,71.29844008076194,0.05385832625850284
1,sub-201,17,93.35048952040906,0.025311001498154573
1,sub-201,18,85.88933851311232,0.009304812968929044
1,sub-201,19,97.8609708583049,0.005040907257631622
1,sub-201,20,97.35270743204835,-0.07861455016654073
1,sub-201,21,71.10192079726117,0.013196983889907976
1,sub-201,22,97.45707151510352,-0.020882481699827204
1,sub-201,23,92.60138623530428,-0.0437547110682277
1,sub-201,24,86.3405277960472,0.10555023072473024
1,sub-201,25,93.27815843352613,-0.01806028891651512
1,sub-201,26,88.38440565903014,-0.07829352569278725
1,sub-201,27,94.04578501352414,0.05389027756552256
1,sub-201,28,79.39773768452096,0.031110427320697465
1,sub-201,29,86.07288231411795,0.026007533263554095
1,sub-201,30,69.72133491937744,0.015530930336255189
1,sub-201,31,81.91122711411423,0.11924812535822471
1,sub-201,32,67.72172088466151,0.05030631986662959
1,sub-201,33,94.43840491082005,-0.055986700892923125
1,sub-201,34,84.39997762499704,-0.008984475765675848
1,sub-201,35,76.81583176259956,0.12218578809282832
1,sub-201,36,73.78252843363393,0.06296970793725842
1,sub-201,37,82.88523929687359,0.09335132064801588
1,sub-201,38,68.09839054081968,0.09901659418465414
1,sub-201,39,82.98554845037779,0.08503689282608651
1,sub-201,40,92.80652567713113,0.07244878432006585
1,sub-201,41,98.74743638647031,0.09089451152647765
1,sub-201,42,98.00218823056963,-0.02332150225034635
1,sub-201,43,84.66102733755362,0.07679562433079656
1,sub-201,44,95.01661163764997,0.031032630800845284
1,sub-201,45,93.85312088753362,-0.007700880359165829
1,sub-201,46,79.73930540718298,-0.040748265726450406
1,sub-201,47,93.20170764513921,-0.010807169775654435
1,sub-201,48,83.74161950153581,0.007440291674967181
1,sub-201,49,97.98964146041153,0.0334823699023139
1,sub-201,50,114.23844228319118,0.03904854478323916
1,sub-201,51,82.02615479497989,0.03313061198071843
1,sub-201,52,63.20917743215774,0.06095041910564669
1,sub-201,53,89.78995909398779,0.030977658491999627
1,sub-201,54,89.65270556218591,0.08255021361124903
1,sub-201,55,95.63640300696176,0.09799834094795079
1,sub-201,56,79.2372822811333,0.028657675843283048
